Symbol,Name,PE Ratio,Dividend Yield,Earnings Growth
AAPL,Apple Inc.,0.08138189835258401,0.012901593726283835,0.0036343707635063016
MSFT,Microsoft Corporation,0.06297110970431054,0.017961042246395144,0.00418561571176299
GOOG,Alphabet Inc.,0.09194095876479372,0.0,0.004916335759452088
GOOGL,Alphabet Inc.,0.09275746310420055,0.0,0.004916335759452088
AMZN,"Amazon.com, Inc.",0.039044796514196456,0.0,0.16558821361382725
NVDA,NVIDIA Corporation,0.03562342738518732,0.0,0.02752058355046615
META,"Meta Platforms, Inc.",0.07133960835653325,0.00986592461421705,0.009537819569836644
TSLA,"Tesla, Inc.",0.052472439862217723,0.0,0.006695062191326865
BRK-A,Berkshire Hathaway Inc.,0.1849835461567627,0.0,0.0
HSBC,"HSBC Holdings, plc.",0.3109761118589783,0.20111307867442446,0.0
LLY,Eli Lilly and Company,0.01782449229041728,0.016696180116367317,0.0035382233888103685
TSM,Taiwan Semiconductor Manufactur,0.09141320797133173,0.039463700986592465,0.002503036654584146
UNH,UnitedHealth Group Incorporated,0.10377789018528231,0.03566911206678472,0.0036343707635063016
JPM,JP Morgan Chase & Co.,0.19414569744497878,0.05717176827725778,0.002640847891648318
V,Visa Inc.,0.07112746753240969,0.017961042246395144,0.003772182000570474
AVGO,Broadcom Inc.,0.05933151284003669,0.04047558816089046,0.009150025158563044
NVO,Novo Nordisk A/S,0.05126172728949952,0.02757399443460663,0.005143884546232464
SHEL,Shell PLC,0.19606277612827333,0.10827219833038197,7.050807477701827e-05
WMT,Walmart Inc.,0.025776569927557332,0.10700733620035416,0.0027241756163847945
XOM,Exxon Mobil Corporation,0.18887696335305623,0.0920819630660258,0.001900513106489627
MA,Mastercard Incorporated,0.05843780377115419,0.013660511004300529,0.0035574528637495545
JNJ,Johnson & Johnson,0.07455891289617121,0.07386794839362508,0.0034613054890536214
HD,"Home Depot, Inc. (The)",0.09343624371477019,0.06071338224133569,0.002653667541607776
PG,Procter & Gamble Company (The),0.08561986830251814,0.05868960283329117,0.002756224741283439
BHP,BHP Group Limited,0.11421820226897796,0.14697697950923347,0.0003781796738040067
ASML,ASML Holding N.V. - New York Re,0.05405695090493633,0.01745509638249431,0.0035414283013002327
COST,Costco Wholesale Corporation,0.04671676955014256,0.013407538578294964,0.0036536002384454885
ORCL,Oracle Corporation,0.07502053458036491,0.03566911206678472,0.0044452136234420115
CVX,Chevron Corporation,0.16401765236453605,0.10017708069820389,0.0010928751590437821
ABBV,AbbVie Inc.,0.03602990817529298,0.08752845939792561,0.0009774983094086613
MRK,"Merck & Company, Inc.",0.002587457818501911,0.05970149253731343,0.0
ADBE,Adobe Inc.,0.05016545796511021,0.0,0.004012550437310309
BAC,Bank of America Corporation,0.19937270389121375,0.07108524664811534,0.0011762028837802583
KO,Coca-Cola Company (The),0.09291349747343867,0.07968631419175308,0.0031055602026786653
CRM,"Salesforce, Inc.",0.021401853182958886,0.0,0.018992311414936815
NGG,"National Grid Transco, PLC Nati",0.14771009307593014,0.1338224133569441,0.002769044391242897
TM,Toyota Motor Corporation,0.20579140523811987,0.042499367568934986,0.0059547274061681746
PEP,"Pepsico, Inc.",0.08918939541202206,0.07487983809764735,0.007996256662211838
ACN,Accenture plc,0.06658605652168184,0.03415127751075133,0.0031408142400671745
AMD,"Advanced Micro Devices, Inc.",0.00716962758171788,0.0,0.1591783886340983
MCD,McDonald's Corporation,0.0894373211766437,0.05615987857323551,0.003387592501786738
NFLX,"Netflix, Inc.",0.04833715392195747,0.0,0.05520782255040525
NVS,Novartis AG,0.09092363313885543,0.09157601821401466,0.01910448335208207
PDD,PDD Holdings Inc.,0.07960569837144234,0.0,0.004531746260668352
CSCO,"Cisco Systems, Inc.",0.15109785059223785,0.08221603845180873,0.0030222324779421894
TMO,Thermo Fisher Scientific Inc,0.06386225785795507,0.0065772830761447,0.003294650039580669
LIN,Linde plc,0.0654798031314998,0.028332911712623324,0.003708083750773185
INTC,Intel Corporation,0.02207938757800115,0.028838856564634453,0.0
BABA,Alibaba Group Holding Limited,0.15841446877489843,0.03288641791044776,0.0009294246220606943
SAP,SAP  SE,0.04214858815986029,0.032127496837844674,0.006935430628066699
ABT,Abbott Laboratories,0.06362370346135643,0.0460409815330129,0.0048842866345534435
NKE,"Nike, Inc.",0.07532607487539753,0.0349101935239059,0.003801026212979254
WFC,Wells Fargo & Company,0.19710594208493543,0.0652668833797116,0.003602321638607657
TMUS,"T-Mobile US, Inc.",0.09704418719280684,0.019478879332152796,0.004435598885972418
CMCSA,Comcast Corporation,0.19481864884586958,0.07437389324563622,0.0035830921636684702
TBC,AT&T Inc. 5.625% Global Notes d,0.0,0.0,0.0
TTE,TotalEnergies SE,0.2837549107883326,0.12522135087275485,0.005326564558154739
DIS,Walt Disney Company (The),0.03569489386892279,0.02074373893245636,0.004679172235202117
INTU,Intuit Inc.,0.03491166228654419,0.013407538578294964,0.002528675954503062
DHR,Danaher Corporation,0.05223911015465716,0.01037186946622818,0.0014774646578275179
